,category,num transactions,profit_per_order avg,profit_per_order std,p-value,stationary state,risk to reward,customer_city
0,Footwear,442.0,22.269671492420816,127.994743588518,9.99990000099999e-06,[0.00457151 0.15435732 0.47159263 0.25144338 0.04535348 0.07268168],0.23382641754389585,Caguas
1,Apparel,1658.0,15.319851519276236,82.16791040431674,9.99990000099999e-06,[0.         0.02112957 0.55825236 0.34642347 0.03980352 0.03439107],0.07130774523401985,Caguas
2,Fan Shop,2183.0,30.772355501942286,101.9358832132245,9.99990000099999e-06,[0.         0.10219982 0.5472044  0.26764436 0.03483043 0.04812099],0.26993583868011006,Caguas
3,Golf,1175.0,13.027646010595744,72.70351133442118,9.99990000099999e-06,[0.         0.00085321 0.49315406 0.44124675 0.0332284  0.03151758],-0.10739582792111209,Caguas
4,Outdoors,328.0,8.095975107274393,67.6284122646052,9.99990000099999e-06,[0.         0.01528478 0.34557769 0.57791314 0.03364358 0.02758081],-0.3517954520209653,Caguas
5,Discs Shop,46.0,2.5451678543478273,70.12399833124216,9.99990000099999e-06,[0.         0.         0.15555556 0.82222222 0.         0.02222222],-0.7333333333333333,Caguas
6,Technology,28.0,120.84414085714285,193.47598222295545,2.999970000299997e-05,[0.16736402 0.13249651 0.44630404 0.13947001 0.0446304  0.06973501],0.7754532775453273,Caguas
7,Pet Shop,12.0,12.673661075000004,20.80044656680269,0.013909860901390986,N/A,N/A,Caguas
8,Book Shop,13.0,-4.728558176923077,30.153647524911715,9.99990000099999e-06,N/A,N/A,Caguas
9,Fan Shop,21.0,36.048119980952386,93.29257034899103,0.04868951310486895,[0.   0.25 0.4  0.25 0.05 0.05],0.39999999999999925,Glendale
10,Footwear,4.0,-303.7552125,329.43360915955753,0.027099729002709974,N/A,N/A,Glendale
